'3febdfd7::82', 服装与服饰设计,241, 'F-DSGN',54, 无, 无
'd3114111::4e', 环境设计,241, 'F-DSGN',52, 无, 无
'd06c245f::c5', 美术学,241, 'F-DSGN',60, 无, 无
'ab5c082a::e3', 视觉传达设计,241, 'F-DSGN',53, 无, 无
'e2e5ba82::f9', 数字媒体艺术,241, 'F-DSGN',80, 无, 无
'530bbf34::ec', 工商管理（国际班）,261, 'F-INTL',59, 历史, 无
'ea3d4a33::9e', 电气工程及其自动化（国际班）,262, 'F-INTL',68, 物理, 无
'fd127374::cf', 工商管理（国际班）,262, 'F-INTL',8, 物理, 无
'5fbcbf5c::35', 机械设计制造及其自动化（国际班）,262, 'F-INTL',28, 物理, 无
'e81374f7::f6', 机械设计制造及其自动化（中德班）,262, 'F-INTL',30, 物理, 无
'576bf690::31', 计算机科学与技术（国际班）,262, 'F-INTL',146, 物理, 无
'115778cf::f5', 土木工程（国际班）,262, 'F-INTL',21, 物理, 无
'07e92edf::b8', 电子商务,271, 'F-MANG',10, 历史, 无
'6773e39b::d1', 工商管理类,271, 'F-MANG',20, 历史, 无
'c570c4dc::88', 会计学,271, 'F-MANG',5, 历史, 无
'ecb9941b::0a', 土地资源管理,271, 'F-MANG',5, 历史, 无
'bcb2d8f5::13', 国际经济与贸易,271, 'F-ECON',5, 历史, 无
'7a436bf7::83', 经济学,271, 'F-ECON',5, 历史, 无
'caca227b::8c', 外国语言文学类,271, 'F-LANG',5, 历史, 无
'30df686e::34', 法学,271, 'F-LAWS',5, 历史, 无
'68aef9e8::7f', 能源动力类,272, 'F-MATE',10, 物理, 无
'c43dd145::cb', 电子商务,272, 'F-MANG',10, 物理, 无
'6469faaa::33', 工商管理类,272, 'F-MANG',35, 物理, 无
'3c4c0607::2f', 管理科学与工程类,272, 'F-MANG',20, 物理, 无
'c854bfd3::63', 会计学,272, 'F-MANG',10, 物理, 无
'3b040156::e0', 土地资源管理,272, 'F-MANG',10, 物理, 无
'c7446b4e::2d', 安全工程,272, 'F-ENVE',5, 物理, 无
'd8b062ba::04', 环境工程,272, 'F-ENVE',10, 物理, 无
'32c1153f::18', 机械设计制造及其自动化,272, 'F-MECH',10, 物理, 无
'c61fb43e::4d', 化学工程与工艺,272, 'F-CHME',10, 物理, 无
'16c9283f::31', 能源化学工程,272, 'F-CHME',5, 物理, 无
'1dd6e2cc::5d', 食品科学与工程,272, 'F-CHME',10, 物理, 无
'fcdefa0b::fb', 生物工程,272, 'F-BIOM',10, 物理, 无
'6712e323::e4', 测绘工程,272, 'F-CENG',10, 物理, 无
'a5bf8f16::ae', 给排水科学与工程,272, 'F-CENG',10, 物理, 无
'7ac6e855::8c', 工程管理,272, 'F-CENG',5, 物理, 无
'065302b2::21', 工程造价,272, 'F-CENG',5, 物理, 无
'0bf6e4f9::fd', 建筑环境与能源应用工程,272, 'F-CENG',10, 物理, 无
'e291c248::15', 土木工程,272, 'F-CENG',10, 物理, 无
'2e433485::09', 日语,272, 'F-LANG',5, 物理, 无
'533b6290::6b', 数学类,272, 'F-MATH',20, 物理, 无
'73f86c78::9a', 法学,272, 'F-LAWS',10, 物理, 无
'ae9254a8::05', 表演,281, 'F-DSGN',2, 无, 无
'08c44b82::bc', 工商管理,701, 'F-MANG', 无, 历史, 无
'20d4e690::23', 国际经济与贸易,701, 'F-ECON', 无, 历史, 无
'8a16f853::91', 经济学,701, 'F-ECON', 无, 历史, 无
'bcc90cd6::e6', 社会工作,701, 'F-LAWS', 无, 历史, 无
'c345cee0::c7', 工商管理,702, 'F-MANG', 无, 物理, 无
'c413ffa6::bd', 国际经济与贸易,702, 'F-ECON', 无, 物理, 无
'dc9cbecd::85', 经济学,702, 'F-ECON', 无, 物理, 无
'd8b83109::cb', 社会工作,702, 'F-LAWS', 无, 物理, 无
