233, 工商管理类, 管理学院, 龙洞, 32, 物理, 无, 普通类
233, 会计学, 管理学院, 龙洞, 48, 物理, 无, 普通类
283, 外国语言文学类, 外国语学院, 大学城, 76, 物理, 无, 普通类
241, 产品设计, 艺术与设计学院, 东风路, 50, 无, 无, 美术类
241, 服装与服饰设计, 艺术与设计学院, 东风路, 54, 无, 无, 美术类
241, 环境设计, 艺术与设计学院, 东风路, 52, 无, 无, 美术类
241, 美术学, 艺术与设计学院, 东风路, 60, 无, 无, 美术类
241, 视觉传达设计, 艺术与设计学院, 东风路, 53, 无, 无, 美术类
241, 数字媒体艺术, 艺术与设计学院, 东风路, 80, 无, 无, 美术类
261, 工商管理（国际班）, 国际教育学院, 番禺, 59, 历史, 无, 国际班
262, 电气工程及其自动化（国际班）, 国际教育学院, 番禺, 68, 物理, 无, 国际班
262, 工商管理（国际班）, 国际教育学院, 番禺, 8, 物理, 无, 国际班
262, 机械设计制造及其自动化（国际班）, 国际教育学院, 番禺, 28, 物理, 无, 国际班
262, 机械设计制造及其自动化（中德班）, 国际教育学院, 番禺, 30, 物理, 无, 国际班
262, 计算机科学与技术（国际班）, 国际教育学院, 番禺, 146, 物理, 无, 国际班
262, 土木工程（国际班）, 国际教育学院, 番禺, 21, 物理, 无, 国际班
271, 电子商务, 管理学院, 龙洞, 10, 历史, 无, 地方专项
271, 工商管理类, 管理学院, 龙洞, 20, 历史, 无, 地方专项
271, 会计学, 管理学院, 龙洞, 5, 历史, 无, 地方专项
271, 土地资源管理, 管理学院, 龙洞, 5, 历史, 无, 地方专项
271, 国际经济与贸易, 经济学院, 龙洞, 5, 历史, 无, 地方专项
271, 经济学, 经济学院, 龙洞, 5, 历史, 无, 地方专项
271, 外国语言文学类, 外国语学院, 大学城, 5, 历史, 无, 地方专项
271, 法学, 法学院, 龙洞, 5, 历史, 无, 地方专项
272, 能源动力类, 材料与能源学院, 大学城, 10, 物理, 无, 地方专项
272, 电子商务, 管理学院, 龙洞, 10, 物理, 无, 地方专项
272, 工商管理类, 管理学院, 龙洞, 35, 物理, 无, 地方专项
272, 管理科学与工程类, 管理学院, 龙洞, 20, 物理, 无, 地方专项
272, 会计学, 管理学院, 龙洞, 10, 物理, 无, 地方专项
272, 土地资源管理, 管理学院, 龙洞, 10, 物理, 无, 地方专项
272, 安全工程, 环境科学与工程学院, 大学城, 5, 物理, 无, 地方专项
272, 环境工程, 环境科学与工程学院, 大学城, 10, 物理, 无, 地方专项
272, 机械设计制造及其自动化, 机电工程学院, 大学城, 10, 物理, 无, 地方专项
272, 化学工程与工艺, 轻工化工学院, 大学城, 10, 物理, 无, 地方专项
272, 能源化学工程, 轻工化工学院, 大学城, 5, 物理, 无, 地方专项
272, 食品科学与工程, 轻工化工学院, 大学城, 10, 物理, 无, 地方专项
272, 生物工程, 生物医药学院, 大学城, 10, 物理, 无, 地方专项
272, 测绘工程, 土木与交通工程学院, 大学城, 10, 物理, 无, 地方专项
272, 给排水科学与工程, 土木与交通工程学院, 大学城, 10, 物理, 无, 地方专项
272, 工程管理, 土木与交通工程学院, 大学城, 5, 物理, 无, 地方专项
272, 工程造价, 土木与交通工程学院, 大学城, 5, 物理, 无, 地方专项
272, 建筑环境与能源应用工程, 土木与交通工程学院, 大学城, 10, 物理, 无, 地方专项
272, 土木工程, 土木与交通工程学院, 大学城, 10, 物理, 无, 地方专项
272, 日语, 外国语学院, 大学城, 5, 物理, 无, 地方专项
272, 数学类, 数学与统计学院, 龙洞, 20, 物理, 无, 地方专项
272, 法学, 法学院, 龙洞, 10, 物理, 无, 地方专项
281, 表演, 艺术与设计学院, 东风路, 2, 无, 无, 表演类
701, 工商管理, 管理学院, 龙洞, 无, 历史, 无, 高水平运动队
701, 国际经济与贸易, 经济学院, 龙洞, 无, 历史, 无, 高水平运动队
701, 经济学, 经济学院, 龙洞, 无, 历史, 无, 高水平运动队
701, 社会工作, 法学院, 龙洞, 无, 历史, 无, 高水平运动队
702, 工商管理, 管理学院, 龙洞, 无, 物理, 无, 高水平运动队
702, 国际经济与贸易, 经济学院, 龙洞, 无, 物理, 无, 高水平运动队
702, 经济学, 经济学院, 龙洞, 无, 物理, 无, 高水平运动队
702, 社会工作, 法学院, 龙洞, 无, 物理, 无, 高水平运动队
